dms_orig,dms_dest,dms_mode,sctg2,tons_2015,value_2015
47,47,1,1,468.309,673.8858
47,48,1,1,9.7856,18.1138
47,51,1,1,5.9448,9.5203
47,54,1,1,0.3254,0.911
48,4,1,1,0.4198,0.8692
48,5,1,1,36.6666,75.5841
48,20,1,1,5.6624,15.2477
48,22,1,1,41.9668,47.6684
48,28,1,1,1.2203,1.988
48,31,1,1,2.6745,4.0201
48,35,1,1,0.219,0.6675
48,40,1,1,78.1902,128.5383
48,48,1,1,7956.0799,16814.4006
49,4,1,1,12.8084,18.3986
49,6,1,1,16.2036,20.1069
49,8,1,1,183.3565,272.6489
49,16,1,1,7.3635,15.5534
49,32,1,1,2.3602,2.467
49,48,1,1,5.921,9.0135
49,49,1,1,304.7505,458.1138
49,56,1,1,97.7471,151.3787
50,25,1,1,0.4248,1.1896
50,33,1,1,39.7117,88.4117
50,36,1,1,0.2709,0.7586
50,42,1,1,0.3018,0.8451
50,44,1,1,0.284,0.7954
50,50,1,1,0.8664,2.4259
51,10,1,1,2.8535,5.009
51,11,1,1,3.5887,10.9753
51,21,1,1,8.0881,10.5606
51,24,1,1,68.404,111.3644
51,26,1,1,2.9635,1.3147
51,31,1,1,0.4891,6.5299
51,34,1,1,1.5834,4.053
51,37,1,1,388.2545,532.9102
51,39,1,1,4.7786,7.6058
51,42,1,1,56.0489,83.9813
51,45,1,1,4.8732,5.1921
51,47,1,1,190.6216,263.5022
51,48,1,1,0.0095,0.0025
51,51,1,1,924.0288,1220.3918
51,54,1,1,34.4555,38.768
53,41,1,1,201.5259,571.4805
53,53,1,1,457.2707,1258.9218
54,10,1,1,1.1243,3.1483
54,13,1,1,1.1575,2.2028
54,17,1,1,2.2977,6.4842
54,20,1,1,3.848,11.2667
54,21,1,1,6.5186,14.0946
54,24,1,1,3.0272,3.3851
54,39,1,1,18.66,29.4557
54,40,1,1,2.1556,6.125
54,42,1,1,58.2465,107.9429
54,47,1,1,12.6599,17.0642
54,51,1,1,29.7999,30.5745
54,54,1,1,312.2783,470.6845
55,6,4,1,0.058,0.0001
55,17,1,1,153.6352,307.7761
55,18,1,1,2.8776,5.737
55,19,1,1,14.5156,30.9788
55,26,1,1,1.5928,4.5127
55,27,1,1,12.146,26.0055
55,55,1,1,1237.3897,2357.5923
56,8,1,1,234.8122,477.6956
56,30,1,1,1.6654,4.7822
56,56,1,1,320.7202,654.4763
1,1,1,2,1320.3337,274.4186
1,12,1,2,40.2886,8.0924
1,13,1,2,1.0226,0.3008
1,22,1,2,7.9107,1.5952
1,28,1,2,17.8449,4.0606
1,47,1,2,10.1883,3.3988
2,2,1,2,12.2263,1.9394
4,4,1,2,1335.4555,297.6179
4,6,1,2,0.0037,0.0022
4,6,2,2,11.0009,3.4146
5,5,1,2,15444.9443,4039.5095
5,5,2,2,445.0414,102.5163
5,5,3,2,309.9611,84.4252
5,6,2,2,86.3774,30.9116
5,6,5,2,1.9852,5.1028
5,17,3,2,90.699,28.4869
5,20,1,2,59.6437,12.593
5,22,1,2,292.3082,83.0883
5,22,5,2,107.9558,26.9198
5,28,1,2,165.742,48.132
5,28,2,2,26.1609,7.2659
5,28,3,2,13.0492,1.1286
5,29,1,2,141.3936,36.8381
5,29,5,2,26.4815,8.9842
5,40,1,2,73.2318,15.6081
5,47,1,2,63.0748,23.5619
5,48,1,2,121.351,28.3135
6,4,1,2,29.5857,8.6407
6,6,1,2,6596.0241,2329.5909
6,6,5,2,0.5774,0.4162
6,12,1,2,0.0893,1.3037
6,13,1,2,21.412,15.6601
6,13,5,2,0.027,1.1246
6,17,1,2,15.7858,29.302
6,19,1,2,2.6391,3.1122
6,19,5,2,0.29,1.0721
6,24,1,2,9.0978,5.9013
6,25,5,2,0.0004,0.0271
6,28,1,2,14.0143,58.9588
6,29,2,2,84.9141,36.9841
6,29,5,2,0.0002,1.1871
6,32,1,2,97.199,30.5943
6,36,1,2,30.6733,20.2427
6,40,1,2,0.0392,2.3605
6,41,1,2,15.0861,7.3163
6,42,5,2,0.0179,0.3278
6,45,2,2,176.6036,39.1104
6,48,1,2,21.7956,19.2848
6,48,5,2,0.0001,0.0573
6,49,1,2,6.442,13.531
6,51,1,2,0.0417,1.5477
6,51,5,2,0.0001,0.0142
6,53,5,2,0.3456,0.3756
8,4,5,2,0.0001,0.0217
8,6,2,2,65.8893,18.9106
8,6,5,2,0.0012,0.2137
8,8,1,2,10825.7739,2459.4595
8,8,2,2,1964.6086,440.6187
8,13,2,2,47.3866,9.5881
8,17,1,2,10.6582,2.9394
8,17,5,2,0.0963,0.4167
8,20,1,2,287.1165,66.7994
8,29,1,2,38.4011,9.9321
8,31,1,2,2633.8091,584.9638
8,34,1,2,5.5935,8.7365
8,34,5,2,0.0001,0.1952
8,35,1,2,0.4403,0.1148
8,38,1,2,11.8685,10.6729
8,38,2,2,314.7956,185.4197
8,39,1,2,99.5104,27.8658
8,40,1,2,31.4614,3.7843
8,46,1,2,0.474,0.0197
8,48,1,2,7.8689,3.516
8,49,1,2,14.2983,4.0993
8,49,5,2,0.0012,0.0409
8,55,2,2,125.9159,49.6713
8,56,1,2,0.9877,0.2162
9,6,1,2,0.0979,0.5109
9,9,1,2,72.2545,65.0108
9,19,1,2,0.6978,0.4188
9,25,1,2,0.0004,0.0341
9,33,1,2,5.0917,16.2063
9,34,1,2,6.1075,14.2361
9,36,1,2,30.0422,16.5472
9,38,1,2,10.5926,3.22
9,42,1,2,1.8821,2.1305
9,44,1,2,2.2454,1.4686
9,48,1,2,152.3599,168.3908
10,10,1,2,1627.014,410.5666
10,20,1,2,0.0228,0.0095
10,24,1,2,242.4408,56.1994
10,31,1,2,0.1631,0.013
10,37,1,2,2.2291,1.0563
10,39,1,2,5.2001,1.5059
10,42,1,2,3.8048,1.3675
10,51,1,2,0.112,0.159
10,54,1,2,0.4884,0.9649
11,11,1,2,2.1599,0.5616
12,12,1,2,7948.6471,2499.906
12,13,1,2,1.0731,0.4592
13,1,1,2,11.5279,48.7612
13,13,1,2,4209.4239,1068.4716
13,37,1,2,14.3538,4.4437
13,45,1,2,36.4716,18.7859
13,47,1,2,8.7019,1.5927
13,51,1,2,23.4379,21.2991
15,15,1,2,24.9858,181.9176
15,15,3,2,1.035,0.624
16,6,2,2,34.3654,11.2623
16,8,2,2,781.9147,192.6174
16,13,2,2,39.418,11.8311
16,16,1,2,5512.0376,1461.778
16,16,2,2,1000.0787,235.3135
16,17,2,2,102.8801,26.5457
16,19,1,2,126.1157,40.0116
16,19,2,2,233.5092,60.7953
16,26,1,2,0.7597,1.5796
16,27,2,2,7.3354,2.2311
16,29,2,2,442.2784,117.4756
16,30,1,2,639.6594,167.0837
16,32,2,2,4.5181,0.6674
16,39,2,2,6.697,2.6163
16,41,1,2,5.673,9.9431
16,41,2,2,98.9294,32.0689
16,47,1,2,0.4777,1.6587
16,49,1,2,221.1919,55.8398
